target_name,ensg_id,annotations_grade_3,annotations_grade_2,annotations_grade_1
CCDC93,ENSG00000125633,vesicles,,
CCNB1,ENSG00000134057,cytoplasmic,cytoskeleton,
CCT2,ENSG00000166226,nucleoplasm;cytoplasmic,,
CCT3,ENSG00000163468,cytoplasmic,nucleoplasm,
CCT4,ENSG00000115484,cytoplasmic,nucleoplasm,
CCT5,ENSG00000150753,cytoplasmic,nucleoplasm,
CCT6A,ENSG00000146731,cytoplasmic,nucleoplasm,
CCT7,ENSG00000135624,cytoplasmic;nucleoplasm,,big_aggregates
CCT8,ENSG00000156261,cytoplasmic;nucleoplasm,,
CCZ1B,ENSG00000146574,nucleoplasm;cytoplasmic,vesicles,
CD151,ENSG00000177697,membrane;vesicles,,
CD2BP2,ENSG00000169217,nucleoplasm,nuclear_punctae,
CD63,ENSG00000135404,vesicles,,
CD81,ENSG00000110651,membrane;vesicles,cell_contact,
CD9,ENSG00000010278,membrane;vesicles,,
CDC16,ENSG00000130177,nucleoplasm;cytoplasmic,cytoskeleton,
CDC20,ENSG00000117399,nucleoplasm,,nuclear_punctae;cytoplasmic
CDC23,ENSG00000094880,cytoskeleton,cytoplasmic;nucleoplasm,
CDC26,ENSG00000176386,cytoplasmic;nucleoplasm,,
CDC27,ENSG00000004897,nucleoplasm;cytoplasmic,,
CDC37,ENSG00000105401,cytoplasmic,nucleoplasm,
CDC42,ENSG00000070831,cytoplasmic;membrane,,nucleoplasm;cytoskeleton
CDC42BPB,ENSG00000198752,membrane,,nucleoplasm
CDC7,ENSG00000097046,nucleoplasm,nuclear_punctae,nucleolus_fc_dfc
CDH2,ENSG00000170558,membrane;cell_contact,,
CDIPT,ENSG00000103502,er;vesicles,golgi,
CDK1,ENSG00000170312,centrosome;cytoplasmic;nucleoplasm,cytoskeleton,
CDK11B,ENSG00000248333,nucleoplasm,chromatin,
CDK12,ENSG00000167258,nucleoplasm,chromatin;nuclear_punctae,
CDK13,ENSG00000065883,,chromatin;nucleoplasm,
CDK2,ENSG00000123374,nucleoplasm,,nuclear_punctae;cytoplasmic
CDK4,ENSG00000135446,nucleoplasm;cytoplasmic,,
CDK5,ENSG00000164885,nucleoplasm;cytoplasmic,,
CDK7,ENSG00000134058,nucleoplasm,nuclear_punctae,nucleolus_fc_dfc
CDK9,ENSG00000136807,nucleoplasm,,
CDKN2A,ENSG00000147889,cytoplasmic;nucleoplasm,,
CDS1,ENSG00000163624,er,,
CDS2,ENSG00000101290,er;vesicles,,
CENPA,ENSG00000115163,nuclear_punctae,,nucleolus_gc
CENPM,ENSG00000100162,nuclear_punctae,,
CENPW,ENSG00000203760,nuclear_punctae,,
CEP131,ENSG00000141577,centrosome,,
CEP135,ENSG00000174799,centrosome,,
CEP164,ENSG00000110274,centrosome,,
CEP170,ENSG00000143702,centrosome,cytoskeleton,
CEP192,ENSG00000101639,centrosome,,
CEP250,ENSG00000126001,centrosome,,
CEP350,ENSG00000135837,centrosome,,cytoskeleton
CEP72,ENSG00000112877,centrosome,,
CEP78,ENSG00000148019,centrosome,cytoplasmic,
CEP85,ENSG00000130695,centrosome,,cytoplasmic
CEPT1,ENSG00000134255,vesicles;er,,
CERS5,ENSG00000139624,er,,
CERS6,ENSG00000172292,er,,
CERT1,ENSG00000113163,golgi,cytoplasmic,nucleoplasm
CETN2,ENSG00000147400,centrosome,chromatin;cytoplasmic,nucleoplasm
CETN3,ENSG00000153140,centrosome,cytoskeleton,nucleoplasm;cytoplasmic
CFAP298,ENSG00000159079,cytoplasmic;nucleoplasm,,
CHEK1,ENSG00000149554,nucleoplasm,,cytoplasmic
CHEK2,ENSG00000183765,nucleoplasm,,
CHM,ENSG00000188419,cytoplasmic,nucleoplasm;vesicles,
CHMP1A,ENSG00000131165,vesicles,nuclear_punctae,
CHMP2A,ENSG00000130724,cytoplasmic;nucleoplasm,,vesicles
CHMP2B,ENSG00000083937,cytoplasmic,,vesicles
CHMP3,ENSG00000115561,vesicles,,
CHMP4A,ENSG00000254505,vesicles,cytoplasmic;nucleoplasm,
CHMP4B,ENSG00000101421,vesicles,,
CHMP6,ENSG00000176108,membrane;vesicles,er,
CHMP7,ENSG00000147457,cytoplasmic,vesicles,er
CHN1,ENSG00000128656,nucleoplasm;cytoplasmic,,big_aggregates
CHPT1,ENSG00000111666,nucleoplasm;cytoplasmic,,
CHUK,ENSG00000213341,cytoplasmic,nucleoplasm,
CKAP2,ENSG00000136108,centrosome;cytoskeleton,,
CKAP2L,ENSG00000169607,centrosome;cytoskeleton,nucleoplasm;cytoplasmic,nuclear_membrane
CKAP4,ENSG00000136026,er,,
CKAP5,ENSG00000175216,centrosome;cytoplasmic,,cytoskeleton
CKB,ENSG00000166165,nucleoplasm;cytoplasmic,,
CLASP1,ENSG00000074054,centrosome;cytoskeleton,cytoplasmic,
CLASP2,ENSG00000163539,cytoskeleton;golgi,cytoplasmic,
CLCN7,ENSG00000103249,vesicles,,
CLINT1,ENSG00000113282,vesicles,golgi,
CLIP1,ENSG00000130779,cytoplasmic;cytoskeleton,membrane,
CLK2,ENSG00000176444,nuclear_punctae,chromatin;nucleoplasm,
CLK3,ENSG00000179335,nucleoplasm;chromatin,,
CLNS1A,ENSG00000074201,nucleoplasm;cytoplasmic,nuclear_punctae,
CLPTM1,ENSG00000104853,er,vesicles,
CLTA,ENSG00000122705,vesicles,membrane;cytoplasmic;golgi,
CLTB,ENSG00000175416,vesicles,membrane;golgi;cytoplasmic,
CLTC,ENSG00000141367,vesicles,cytoplasmic,golgi;membrane
CNBP,ENSG00000169714,nucleoplasm;cytoplasmic,,
CNN2,ENSG00000064666,cytoskeleton,membrane;cytoplasmic;nucleoplasm,
COIL,ENSG00000121058,nuclear_punctae,nucleoplasm,
COMMD1,ENSG00000173163,vesicles,,cytoplasmic
COMMD2,ENSG00000114744,vesicles,,cytoplasmic
COMMD4,ENSG00000140365,vesicles,,cytoplasmic
COMMD6,ENSG00000188243,vesicles,,
COPA,ENSG00000122218,golgi;vesicles,,cytoplasmic
COPB2,ENSG00000184432,golgi,,
COPE,ENSG00000105669,golgi;vesicles,,cytoplasmic
COPG1,ENSG00000181789,golgi,vesicles,cytoplasmic
COPG2,ENSG00000158623,golgi,vesicles,cytoplasmic
COPZ1,ENSG00000111481,golgi;vesicles,,cytoplasmic
CORO1B,ENSG00000172725,membrane,vesicles,
CORO1C,ENSG00000110880,membrane;vesicles,,cytoplasmic
CPSF6,ENSG00000111605,nucleoplasm,,nuclear_punctae
CSE1L,ENSG00000124207,,nucleoplasm,
CSK,ENSG00000103653,cytoplasmic,focal_adhesions,
CSNK1A1,ENSG00000113712,centrosome;cytoplasmic;nucleoplasm,membrane,cell_contact
CSNK1D,ENSG00000141551,centrosome,,nucleoplasm;cytoplasmic;membrane
CSNK1E,ENSG00000213923,centrosome,nucleoplasm;cytoplasmic,
CSNK1G3,ENSG00000151292,membrane;cytoplasmic,,
CSNK2A1,ENSG00000101266,cytoplasmic;nuclear_punctae;big_aggregates;nucleoplasm,,
CSNK2A2,ENSG00000070770,nuclear_punctae;cytoplasmic;big_aggregates;nucleoplasm,,
